Keyword,Assigned Category
All Purpose Seasoning,Seasonings
Orange Pepper Seasoning,Seasonings
Char Siu Mix,Meat mixed dishes
MSG Seasoning,Seasonings
Tzatziki Spice Blend,Spices
Lemon & Herb Seasoning,Seasonings
Sofrito Seasoning,Seasonings
Pork Rub Seasoning,Seasonings
Za'atar Seasoning,Seasonings
Blackened Seasoning,Seasonings
Salt & Vinegar Seasoning,Seasonings
Gourmet Seasoning,Seasonings
Garam Masala,Spices
Chili and Lime Seasoning,Seasonings
Cloves,Spices
Sweet and Spicy Seasoning,Seasonings
Jambalaya Rice,Rice mixed dishes
Red Chili Flakes,Spices
Birria Mix,Other Mexican mixed dishes
Seasoning Blend,Seasonings
Brazilian Steakhouse Seasoning,Seasonings
Sicilian Pizza Seasoning,Seasonings
Mango Chipotle Seasoning,Seasonings
Fennel Seeds,Spices
Ham Flavored Seasoning,Seasonings
Mixed-Up Salt,Seasonings
Chickpea Tikka Masala,"Bean, pea, legume dishes"
Avocado Topping Seasoning,Seasonings
Spices,Spices
Everything Bagel Seasoning,Spices
Oxtail and Stew Seasoning,Seasonings
Garlic Butter Seasoning,Seasonings
Seasoned Salt,Seasonings
Plant-Based Chili,"Bean, pea, legume dishes"
Jerk Seasoning,Seasonings
Charbroil Seasoning,Seasonings
Honey Sriracha Seasoning,Seasonings
Sauce Seasoning Mix,Other sauces
Chili Oil Topping,Mustard and other condiments
Curry Powder,Spices
Greens Seasoning,Spices
Bean Seasoning,Seasonings
Fiesta Chicken Seasoning Mix,Seasonings
Etouffee Mix,Other sauces
Shawarma Spice Blend,Spices
Cajun Trinity,Spices
Seasoning Blends,Seasonings
Tzatziki Seasoning Dip,Dips
Parmesan Herb Seasoning,Seasonings
Harissa Seasoning,Spices
Seasonings Variety Pack,Seasonings
Chicken'n Rib Seasoning,Seasonings
Thyme Leaves,Spices
Mixed Spices & Seasonings,Seasonings
Flavor Enhancer,Seasonings
Bonito Broth,Soups
Sumac,Spices
Steakhouse Seasoning,Seasonings
Cranberry Jalapeno Sauce,Other sauces
Pot Roast Seasoning Mix,Seasonings
Sweet & Spicy Sauce Mix,Other sauces
Stir Fry Seasoning Mix,Stir-fry
Spaghetti Seasoning Blend,Seasonings
Seasoning Salt,Seasonings
Barbeque Seasoning,Seasonings
Bread Dipping Seasonings,Seasonings
Cajun Trinity Spice Blend,Spices
Burgers,Burgers
Ground Turmeric Powder,Spices
Seasoning with Culantro & Tomato,Seasonings
Coconut Pineapple Water,Flavored or carbonated water
Strawberry Lemonade Sparkling Water,Flavored or carbonated water
Passion Fruit Hydration,Enhanced water
Fruit Flavored Water,Flavored or carbonated water
Protein-Infused Water,Nutritional beverages
Berry Sparkling Water,Flavored or carbonated water
Mineral Spring Water,Flavored or carbonated water
Lime Sparkling Water,Flavored or carbonated water
Peach Flavored Sparkling Water,Flavored or carbonated water
Flavored or Carbonated Water,Flavored or carbonated water
Grapefruit Sparkling Water,Flavored or carbonated water
Flavored Water Variety Pack,Flavored or carbonated water
Hydrogen Water,Enhanced water
Birch Water Drink,Flavored or carbonated water
Lemon Flavored Sparkling Water,Flavored or carbonated water
Antioxidant Infused Beverage,Nutritional beverages
Grapefruit Flavored Sparkling Water,Flavored or carbonated water
Diet Tonic,Other diet drinks
Lime Flavored Sparkling Water,Flavored or carbonated water
Strawberry Hibiscus Sparkling Water,Flavored or carbonated water
Peach Lemonade Sparkling Water,Flavored or carbonated water
Flavored Carbonated Water,Flavored or carbonated water
Flavored Seltzer Water,Flavored or carbonated water
Raspberry Blackberry Sparkling Water,Flavored or carbonated water
Coconut Pineapple Flavored Water,Flavored or carbonated water
Natural Artesian Water,Bottled water
Sparkling Bottled Water,Flavored or carbonated water
Oodles of Doodles Soda,Soft drinks
Detox Drink,Nutritional beverages
Vitamin Enhanced Water,Enhanced water
Diet Caffeine-Free Soda,Diet soft drinks
Flavored Soda,Soft drinks
Variety Pack Soda,Soft drinks
Flavored Coke,Soft drinks
Diet Soft Drinks,Diet soft drinks
Coke Zero,Diet soft drinks
Spiced Soda,Soft drinks
Coke,Soft drinks
Flavored Soft Drinks,Soft drinks
Coca Cola Zero,Diet soft drinks
Diet Soft Drink,Diet soft drinks
Mexican Coca Cola,Soft drinks
Coca Cola,Soft drinks
Caffeine Free Diet Soda,Diet soft drinks
Cranberry Soda Syrup,Soft drinks
Coca-Cola with Coffee,Soft drinks
Chickpea Chips,"Tortilla, corn, other chips"
Ranch Tortilla Chips,"Tortilla, corn, other chips"
Rolled Tortilla Chips,"Tortilla, corn, other chips"
Pork Rinds,Pork
Whole Grain Wheat Crackers,"Crackers, excludes saltines"
Snack Crackers,"Crackers, excludes saltines"
Black Bean Tortilla Chips,"Tortilla, corn, other chips"
Coconut Crispy Roller,Turnovers and other grain-based items
Multigrain Snack Chips,"Tortilla, corn, other chips"
Tamales,Other Mexican mixed dishes
Tamale,Other Mexican mixed dishes
Marshmallow Bites,Candy not containing chocolate
Ranch Flavored Snacks,"Tortilla, corn, other chips"
Nacho Cheese Protein Chips,"Tortilla, corn, other chips"
Salted Popcorn,Popcorn
Flamin' Hot Tortilla Chips,"Tortilla, corn, other chips"
Spicy Queso Snack Chips,"Tortilla, corn, other chips"
Popped-Corn Snack Chips,"Tortilla, corn, other chips"
Cheddar Popcorn,Popcorn
Cauliflower Chips,"Tortilla, corn, other chips"
BBQ Flavored Potato Snack,Potato chips
Roasted Edamame,Processed soy products
Roasted Edamame Snacks,Processed soy products
Flavored Potato Chips,Potato chips
Onion Flavored Snack Chips,Potato chips
Cheese Balls,"Crackers, excludes saltines"
Flavored Rice Cakes,"Crackers, excludes saltines"
Chips & Salsa Variety Pack,"Tortilla, corn, other chips"
Mochi Ice Cream,Ice cream and frozen dairy desserts
Honey Barbecue Potato Chips,Potato chips
English Breakfast Tea Pods,Tea
Matcha Green Tea + Milk Tea,Tea
Lemon Flavored Iced Tea,Tea
Lemonade Flavored Iced Tea,Tea
Peach Flavored Iced Tea,Tea
Sweet Iced Tea,Tea
Tea Lemonade Drink,Tea
Chai Tea Concentrate,Tea
Green Tea with Ginseng & Honey,Tea
Matcha Oat Milk Latte,Grain drinks
Green Tea Drink Mix,Tea
Yerba Mate Drink,Tea
Green Tea Drink Powder,Tea
Loose Leaf Tea,Tea
Green Iced Tea,Tea
Yerba Mate,Tea
Popping Pearls,Ice cream and frozen dairy desserts
Zero Sugar Raspberry Tea,Diet soft drinks
Flavored Water Packets,Flavored or carbonated water
Thai Tea Mix,Tea
Hibiscus Tea,Tea
Lemon Iced Tea Drink Mix,Other diet drinks
Lemonade Variety Pack,Fruit drinks
Beet Juice Powder,Vegetable juice
Fruit Tea,Tea
Decaf Green Tea,Tea
Ginger Products,Spices
Sweetened Iced Tea Mix,Tea
Mango Flavored Tea,Tea
Energy Stick Packets,Sport and energy drinks
Horchata Drink Mix,Grain drinks
Jasmine Tea with Honey,Tea
Arnold Palmer Drink Mix,Other diet drinks
Drink Mix,Other diet drinks
Sweet Tea Variety Pack,Tea
Sparkling Green Tea,Tea
Iced Tea Lemonade Mix,Other diet drinks
Juice Powder,Other fruit juice
Loose Leaf Tea Kit,Tea
Spiced Chai Latte,Tea
Decaf Lemon Iced Tea Mix,Other diet drinks
Flavored Syrups,Syrups
Kombucha Cherry,Tea
Blackberry Citrus Green Tea,Tea
Sweetened Lemon Tea,Tea
Peach Black Tea,Tea
Kombucha Kit,Tea
Lemon Iced Tea Concentrate,Tea
Chai Latte Mix,Tea
Juice Powdered Drink Mix,Other fruit juice
Electrolyte Mix,Sport and energy drinks
Boba Milk Tea,Tea
Sugar Free Apple Cider Mix,Other diet drinks
Decaffeinated Tea Powder,Tea
Flavored Tea,Tea
Flavored Black Tea,Tea
Blended Ice Coffee Mix,Coffee
Herbal Tonic,Tea
Energy Tea,Tea
Sweetened Bottled Water,Flavored or carbonated water
Flavored Milk Tea,Grain drinks
Spiced Apple Cider Drink Mix,Other fruit juice
Iced Tea Mix,Tea
Kombucha Powder,Tea
Ginger Lemon Tea,Tea
Cinnamon Tea,Tea
Vanilla Chai Tea,Tea
Spicy Black Tea,Tea
Chai Oatmilk Latte Mix,Grain drinks
Carrot Juice Powder,Vegetable juice
Juice Mix,Other fruit juice
Acai Berry Powder,Dried fruits
Sparkling Probiotic Drink,Grain drinks
Beauty Juice Drink,Nutritional beverages
Honey Green Tea,Tea
Raspberry Flavor Syrup,Syrups
Black Iced Tea Bags,Tea
Lemon Iced Tea Powder,Other diet drinks
Boba Jelly,"Gelatins, ices, sorbets"
Thai Iced Tea,Tea
Lemon Soft Drinks,Soft drinks
Bubble Tea Kit,Tea
Iced Tea K-Cups,Tea
Sugar-Free Iced Tea Mix,Other diet drinks
Loose Leaf White Tea,Tea
Cold Brew Black Tea,Tea
Pineapple Hibiscus White Tea,Tea
Kombucha Starter,Tea
Diet Peach Tea,Diet soft drinks
Black Tea K-Cup Pods,Tea
Chamomile Tea,Tea
Juice,Other fruit juice
Lychee Tea,Tea
Tea Gift Set,Tea
Thai Tea Concentrate,Tea
Kombucha Variety,Tea
Berry Hibiscus Herbal Tea,Tea
Instant Coffee Mix,Coffee
Thai Tea,Tea
Iced Coffee Beverage Mix,Coffee
Pink Lemonade Flavor Drink Mix,Other diet drinks
Apple Cinnamon Iced Tea,Tea
Matcha Lemonade Mix,Tea
Frappe Mix,Coffee
Ginger Spread,Mustard and other condiments
Spiced Cherry Tea,Tea
A.1 Sauce,Other sauces
Dill Pickle Snacking Cuts,Pickles
Hot Wing Sauce,Other sauces
Asian Zing Sauce,Other sauces
Mole Sauce,Gravies
Buffalo Sauce,Other sauces
Breaded Pickle Slices,Fried vegetables
Marinated Olives,Olives
Horseradish Dip,Dips
Mango Habanero Sauce,Other sauces
Garlic Aioli Sauce,Other sauces
Avocado Hot Sauce,Mustard and other condiments
Truffle Hot Sauce,Mustard and other condiments
BBQ Wing Sauce,Other sauces
Creamy Sriracha Sauce,Other sauces
Olive Oil Mayonnaise,Mayonnaise
Creamy Italian Sauce,Salad dressings
Pimiento-Stuffed Olives,Olives
Honey Hot BBQ Sauce,Other sauces
Dill Pickle Mustard,Mustard and other condiments
Spicy Mayonnaise,Mayonnaise
Red Chile Sauce,Other sauces
Mole,Other Mexican mixed dishes
Hot Wings Sauce,Other sauces
Pickled Vegetables,Pickled vegetables
Hamburger Pickles,Pickles
Chipotle Chili Paste,Mustard and other condiments
Pickled Eggs,Eggs
Camp Fire Sauce,Other sauces
Feta Cheese with Olives,Olives
Bacon Flavored Aioli,Other sauces
Honey Barbecue Sauce,Other sauces
Pickled Jalapeños,Pickled vegetables
Dipping Sauce,Dips
Habanero Pepper Sauce,Mustard and other condiments
Mayonnaise Sandwich Spread,Mayonnaise
Gochujang Sauce,Soy-based condiments
Raspberry Chipotle Sauce,Other sauces
Pickled Beans,Pickled vegetables
Buffalo Dip,Dips
Olive Medley,Olives
Mayo Ketchup,Mustard and other condiments
Jalapeno Relish,Mustard and other condiments
Hot Barbecue Sauce,Other sauces
Harissa Sauce,Mustard and other condiments
Pitted Manzanilla Olives,Olives
Mexican BBQ Sauce,Other sauces
Garlic Sauce,Other sauces
Bar-B-Q Sauce,Other sauces
Chili Oil Sauce,Mustard and other condiments
Bulgogi Marinade,Other sauces
Red Pepper Spread,Dips
Hot BBQ Sauce,Other sauces
Mustard Packets,Mustard and other condiments
Horseradish Cream,Mustard and other condiments
Ranch Sauce,Dips
Relish,Mustard and other condiments
Spicy BBQ Sauce,Other sauces
Condiment Packs,Mustard and other condiments
Chimichurri Sauce,Other sauces
Ajvar Relish,Mustard and other condiments
Horseradish Root,Other vegetables and combinations
Barbecue Pork,Meat mixed dishes
Sweet Relish,Mustard and other condiments
Chinese Style Mustard,Mustard and other condiments
Jerk Sauce,Other sauces
Pickles and Peppers,Pickled vegetables
Peanut Butter Snack,Nuts and seeds
Yogurt-Covered Pretzels,Pretzels/snack mix
Soft Pretzel Nuggets,Pretzels/snack mix
Chocolate Snacks,Candy containing chocolate
Peanut Butter Pretzels,Pretzels/snack mix
Garlic Butter Pretzels,Pretzels/snack mix
Nacho Cheese Pretzel Snacks,Pretzels/snack mix
Stick Pretzels,Pretzels/snack mix
Pretzel Dippers,Pretzels/snack mix
Choco Churros,"Tortilla, corn, other chips"
Jalapeno Pretzels,Pretzels/snack mix
Pizzeria Baked Pretzel Snacks,Pretzels/snack mix
Pretzel Rolls,Rolls and buns
Grain-Free Pretzels,Pretzels/snack mix
Flavored Popcorn,Popcorn
Salted Caramel Pretzels,Pretzels/snack mix
Soft Pretzel,Pretzels/snack mix
Cheese Flavored Pretzel Snacks,Pretzels/snack mix
White Chocolate Pretzel Dips,Pretzels/snack mix
Yogurt Flavored Pretzels,Pretzels/snack mix
Caramel Swirl Pretzels,Pretzels/snack mix
Homestyle Pretzels,Pretzels/snack mix
Cookie Sticks,Cookies and brownies
Cinnamon Soft Pretzels,Pretzels/snack mix
Churro Snacks,Turnovers and other grain-based items
Ginger Pretzels,Pretzels/snack mix
Cheddar Pretzel Pieces,Pretzels/snack mix
Pretzel Packs,Pretzels/snack mix
Garlic and Butter Pretzels,Pretzels/snack mix
Sourdough Pretzel Nuggets,Pretzels/snack mix
Sugar-Free Chocolate Pretzels,Candy containing chocolate
Pretzel Bark,Candy containing chocolate
Buffalo Pretzel Nuggets,Pretzels/snack mix
Chocolatey Pretzels,Pretzels/snack mix
Christmas Tree Pretzels,Pretzels/snack mix
Almond Butter Filled Pretzel Nuggets,Pretzels/snack mix
Nut Roll,Nuts and seeds
Hazelnut Spread and Pretzel Sticks,"Crackers, excludes saltines"
Salted Caramel Pretzel Bites,Pretzels/snack mix
Fudge Dipped Devil Dogs,"Tortilla, corn, other chips"
Flavored Peanut Butter,Peanut butter and jelly sandwiches
Sesame Pretzel Thins,Pretzels/snack mix
Flavored Pretzels,Pretzels/snack mix
Savory Pretzels,Pretzels/snack mix
Seasoned Pretzel Twists,Pretzels/snack mix
Pretzel Thins,Pretzels/snack mix
Pretzels and Cheese Snacks,Pretzels/snack mix
Frankfurter sandwiches,Frankfurter sandwiches
Cheddar Cheese Filled Pretzel Sandwiches,"Crackers, excludes saltines"
Pretzel Chips,Pretzels/snack mix
French Vanilla Instant Coffee Mix,Coffee
Roast Coffee,Coffee
Coffee Creamer Packets,Cream and cream substitutes
Clementines,Citrus fruits
Porterhouse Steak,"Beef, excludes ground"
Coleslaw,"Coleslaw, non-lettuce salads"
Beef Stew Meat,"Beef, excludes ground"
Vienna Sausage,Sausages
Apples,Apples
Cubed Steak,"Beef, excludes ground"
Ground Turkey Breast,Turkey
Egg Roll Wraps,Eggrolls
Deli Turkey,Deli and cured meat sandwiches
Stuffed Breaded Chicken Breasts,"Chicken patties, nuggets and tenders"
Beef Stir Fry,Stir-fry
Stuffed Chicken Breasts,"Chicken patties, nuggets and tenders"
Pomegranate Arils,Other fruits and fruit salads
Won Ton Wraps,Turnovers and other grain-based items
Salmon with Seasoning,Fish
Dumplings,Dumplings
Vanilla Oat Creamer,Cream and cream substitutes
Turkey Breast Tenderloins,Turkey
Deli Cooked Ham,Cold cuts
Bamboo Shoots,Other vegetables and combinations
Seed Crackers,"Crackers, excludes saltines"
Pork Spareribs,Pork
Roasted Turkey Breast & Gravy,Poultry mixed dishes
Ham and Cheese Sandwich,Deli and cured meat sandwiches
Vegan Cheese,Milk substitutes
Turkey Burger Patties,Turkey
Garlic Butter Shrimp Scampi,Seafood mixed dishes
Hazelnut Crème,Cream and cream substitutes
Wing Sauce Variety Pack,Other sauces
Korean Barbecue Sauce,Other sauces
Pickapeppa Sauce,Mustard and other condiments
Chinese Barbeque Sauce,Other sauces
Mango Barbecue Sauce,Other sauces
Brown Sauce,Gravies
Char Siu Sauce,Other sauces
BBQ Sauce Gift Box,Other sauces
Hawaiian Style Barbecue Sauce,Other sauces
Japanese BBQ Sauce,Other sauces
BBQ Sauce Variety Pack,Other sauces
Whiskey Maple BBQ Sauce,Other sauces
Smoked Cherry Sauce,Other sauces
Barbeque Marinade,Other sauces
Guava Fig BBQ Sauce,Other sauces
Finishing Sauce,Other sauces
California Gold Sauce,Other sauces
Vegetable & Fruit Sauce,Other sauces
Balsamic Glaze BBQ,Other sauces
Bourbon Sauce & Marinade,Other sauces
Pork Rub,Seasonings
Bar-B-Que Sauce,Other sauces
Tart Cherries,Other fruits and fruit salads
Spicy Chicken Sauce,Other sauces
Bacon Wrapped Filet Mignons,"Chicken, whole pieces"
Spare Rib Sauce,Other sauces
BBQ & Dipping Sauce,Other sauces
Cracked Pepper & Lemon Seasoning,Seasonings
Buffalo BBQ Sauce,Other sauces
BBQ Sauce and Dry Rub,Other sauces
Original Sauce,Other sauces
BBQ Set,Other sauces
Barbeque Glaze,Other sauces
Hawaiian Barbecue Sauce,Other sauces
Jalapeno Barbeque Sauce,Other sauces
Rib Glaze,Other sauces
Tamarind BBQ Sauce,Other sauces
Honey Chipotle Grilling Sauce,Other sauces
Honey Sweet BBQ Sauce,Other sauces
Marinade Seasoning,Other sauces
Mustard BBQ Sauce,Other sauces
Mustard Barbecue Sauce,Mustard and other condiments
Pulled Pork in BBQ Sauce,Meat mixed dishes
BBQ Sauce Sampler,Other sauces
BBQ Sauce Gift Set,Other sauces
Whiskey Sauce,Other sauces
BBQ Sauce Packets,Other sauces
Honey Sriracha Barbecue Sauce,Other sauces
BBQ Sauce Set,Other sauces
Sweet Black Pepper Sauce,Other sauces
Teriyaki Barbecue Sauce,Other sauces
Carolina Reaper BBQ Sauce,Other sauces
Raspberry Chipotle Barbecue Sauce,Other sauces
Habanero BBQ Sauce,Other sauces
Spicy Honey BBQ Sauce,Other sauces
BBQ Sauces,Other sauces
Barbecue Sauces,Other sauces
Grilling & Braising Sauces,Other sauces
Fruit Jelly,Toppings
Bar-B-Q White Sauce,Other sauces
Liquid Smoke Sauce,Other sauces
Peach Habanero Glaze,Other sauces
BBQ DIY Kit,Other sauces
Hawaiian Style BBQ Sauce,Other sauces
Coffee Barbecue Sauce,Other sauces
Blackberry BBQ Sauce,Other sauces
White Lightning Barbecue Sauce,Other sauces
BBQ Spritz,Other sauces
Citrus BBQ Sauce,Other sauces
Sugar Free BBQ Sauce,Other sauces
Carolina Barbecue Sauce,Other sauces
Satay Sauce,Other sauces
Hot Sauce Gift Pack,Mustard and other condiments
HP Sauce,Other sauces
Beef Brisket Injection,Other sauces
Fiery Hot Popcorn,Popcorn
Jalapeno Popcorn,Popcorn
Popcorn Toppings,Popcorn
Butter Spray,Butter and animal fats
Toffee Popcorn,Popcorn
Cheetos Popcorn Variety Pack,Popcorn
Candy Coated Popcorn,Popcorn
Caramel & Cheddar Popcorn Mix,Popcorn
Popcorn Kits,Popcorn
Truffle Salt Popcorn,Popcorn
Popcorn Gift Tin,Popcorn
Popcorn Pouches,Popcorn
Caramel/Cheese Popcorn,Popcorn
Popcorn-Cashew Mix,Popcorn
Butter-Flavored Popcorn,Popcorn
Creole Crunch Popcorn,Popcorn
Cookie Popcorn,Popcorn
Popcorn Bags,Popcorn
Cake Batter Popcorn,Popcorn
Pickle-flavored Popcorn,Popcorn
Mini Popcorn,Popcorn
Caramel Nut Popcorn Clusters,Popcorn
Kettle Cooked Popcorn,Popcorn
Cheese Flavored Popcorn,Popcorn
Gourmet Popcorn Clusters,Popcorn
Cheese & Caramel Popcorn,Popcorn
Gourmet Popcorn Mix,Popcorn
Butter Topping,Butter and animal fats
Truffle Popcorn,Popcorn
Blueberry Popcorn,Popcorn
Nut and Popcorn Seasoning,Seasonings
Funny Bones,Cakes and pies
Caramel Popcorn Coating,Popcorn
Chocolate Caramel Popcorn,Popcorn
Cheddar Caramel Popcorn,Popcorn
Buttery Flavored Oil,Vegetable oils
Butter Popcorn Oil,Butter and animal fats
Vanilla Bean Latte Mix,Coffee
Cafe Mix,Coffee
Medium Coffee,Coffee
Cookies & Creme Candy,Candy containing chocolate
Chocolate Bunny,Candy containing chocolate
Dark Chocolate Peppermint Patties,Candy containing chocolate
Chocolate Marshmallow Eggs,Candy containing chocolate
Marshmallow Milk Chocolate Egg,Candy containing chocolate
Chocolate Flavored Candy,Candy containing chocolate
Almond Chocolate Candy,Candy containing chocolate
MoonPie,Cookies and brownies
White Fudge,Candy containing chocolate
Kit Kat Minis,Candy containing chocolate
Gluten-Free Muffin,"Biscuits, muffins, quick breads"
Chocolate Eggs,Candy containing chocolate
Peanut Butter Chocolate,Candy containing chocolate
Peanut Butter Milk Chocolate,Candy containing chocolate
Chocolate Covered Dried Cranberries,Candy containing chocolate
Chocolate and Peanut Butter Candy,Candy containing chocolate
Chocolate and White Creme Eggs,Candy containing chocolate
Chocolate Covered Bananas,Candy containing chocolate
Plant-Based Chocolate Bar,Candy containing chocolate
Dipping Chocolate,Candy containing chocolate
Milk Chocolate Eggs,Candy containing chocolate
Melting Candy Wafers,Candy not containing chocolate
Chocolate and Marshmallow Candy,Candy containing chocolate
Candy Spread,Candy not containing chocolate
Chocolate Mint Candy,Candy containing chocolate
Assorted Sausage Meats,Cream and cream substitutes
Milk Chocolate Easter Bunny,Candy containing chocolate
Chocolate Covered Eggs,Candy containing chocolate
Wafer Candy Bars,Candy containing chocolate
Cookie Dough Bar,Cookies and brownies
Edible Cookie Dough,Cookies and brownies
Flavored Wafer Candy,Candy containing chocolate
Malted Milk Candy,Candy containing chocolate
Dark Chocolate Candy Bars,Candy containing chocolate
Nutrition Bites,Nutrition bars
Flavored Melting Chocolate,Candy containing chocolate
Malted Milk Eggs,Candy containing chocolate
Assorted Minis Candy Bars,Candy containing chocolate
Chocolate Covered Almonds,Candy containing chocolate
Chocolate-Covered Cornflakes,Candy containing chocolate
Chocolate Covered Macadamias,Candy containing chocolate
Milk Chocolate Snack,Candy containing chocolate
Creme Cakes,Cakes and pies
Chocolate Covered Espresso Beans,Candy containing chocolate
Assorted Chocolate Bars,Candy containing chocolate
Nutty Candy Bar,Candy containing chocolate
Milk Chocolate and Hazelnut Cream Bars,Candy containing chocolate
Malted Milk Ball Candy,Candy containing chocolate
Chocolate Clusters,Candy containing chocolate
Chocolate Coin Candy,Candy containing chocolate
Dark Chocolate Peanut Butter Bites,Candy containing chocolate
Dark Chocolate Blueberry Sticks,Candy containing chocolate
Mini Pies,Cakes and pies
Mousse Mix,Pudding
Chocolate-Covered Macnuts,Candy containing chocolate
Snack Cookies,Cookies and brownies
Keto Chocolate Snacks,Nutrition bars
Chocolate Cone Snack,Ice cream and frozen dairy desserts
Superfood Juice Shot,Other fruit juice
Hazelnut Flavored Coffee Pods,Coffee
Caramel Vanilla Coffee,Coffee
French Vanilla Coffee K-Cups,Coffee
Flavored Coffee and Tea Variety Pack,Coffee
Caramel Vanilla Coffee K-Cups,Coffee
Espresso Packets,Coffee
Espresso Coffee Packets,Coffee
Espresso Dark Roast,Coffee
Espresso Coffee K-Cups,Coffee
Espresso K-Cup,Coffee
Espresso Style Coffee Pods,Coffee
Animal-Free Dairy Milk,Milk substitutes
2% Lactaid Milk,"Milk, reduced fat"
Nonfat Dry Milk Powder,"Milk, nonfat"
Vietnamese Iced Coffee,Coffee
Chocolate Milk Alternative,Milk substitutes
Malted Milk Powder,Milk shakes
Camel Milk Powder,Milk substitutes
Buttermilk Solids,Milk substitutes
Dry Skim Milk,"Milk, nonfat"
Malted Milk Drink,Other dairy drinks
Low Fat Milk,"Milk, lowfat"
Vanilla Milk,"Flavored milk, reduced fat"
Thickened Dairy Beverage,Other dairy drinks
Sweet Nuts with Condensed Milk,Cookies and brownies
Organic Milk,"Milk, whole"
Nonfat Milk,"Milk, nonfat"
Nonfat Milk Powder,"Milk, nonfat"
Ultrafiltered Milk,"Milk, reduced fat"
Cream of Rice,Other cooked cereals
Chicken Lo Mein,Lo/chow mein
Cotija Cheese,Cheese
Chili with Beans,"Bean, pea, legume dishes"
Chicken Bouillon Powder,Soups
Bouillon Cubes,Soups
Beef Bouillon Cubes,Soups
Plantains,Other starchy vegetables
Bouillon,Soups
Noodle Bowl,Stir-fry
Freezer Pops,"Gelatins, ices, sorbets"
White Beans,"Beans, peas, legumes"
Honey Graham Cereal,"Ready-to-eat cereal, lower sugar (=<21.2g/100g)"
Mongolian Style Beef Skillet Meal,Meat mixed dishes
Orange Chicken Skillet Meal,Stir-fry
Panela Cheese,Cheese
Salsa Roja,Tomato-based condiments
Korean BBQ-Style Chicken,Poultry mixed dishes
Yogurt Drink,Smoothies
Tomato Sauce with Jalapeño,Tomato-based condiments
Canned Ham,Cured meats
Pigeon Peas,"Beans, peas, legumes"
Pinto Beans with Jalapenos,"Bean, pea, legume dishes"
Bouillon Tablets,Soups
Menudo Soup,Soups
Stir Fry Sauce,Stir-fry
Roasted Garlic Chicken,"Chicken, whole pieces"
Smoked Salmon Poke Bowl,Seafood mixed dishes
Tomato and Chicken Flavor Concentrate,Gravies
Ramen Bowl,"Pasta mixed dishes, excludes macaroni and cheese"
Butter Beans,"Beans, peas, legumes"
Jalapeños,Pickled vegetables
Mexican Hot Style Tomato Sauce,"Pasta sauces, tomato-based"
Crema Mexicana,Cream and cream substitutes
Chicken with Tomato Flavor Bouillon,Soups
Saltine Crackers,Saltine crackers
Octopus in Garlic Sauce,Fish
Sofrito Sauce,Other sauces
Oaxaca Cheese,Cheese
Chorizo Sausage,Sausages
Sugar,Sugars and honey
Avocado Dip,Dips
Chipotle Pepper,Mustard and other condiments
Seasoned Tomato Sauce,"Pasta sauces, tomato-based"
Oregano,Spices
Canned Squid,Shellfish
Split Peas,"Beans, peas, legumes"
Chicken Flavored Pasta Soup Mix,Soups
Onion Powder,Spices
Pork Pozole,Other Mexican mixed dishes
Red Lentils,"Beans, peas, legumes"
Cola Champagne,Soft drinks
Canned Sardines,Fish
Textured Soy Protein,Processed soy products
Blackeye Peas,"Beans, peas, legumes"
Pineapple Flavored Soda,Soft drinks
Mackerel,Fish
Chicken Flavored Soup Mix,Soups
Olive Oil and Sunflower Oil Blend,Vegetable oils
Red Chile Puree,Other vegetables and combinations
Valencian Rice,Rice
Chicken Pozole,Other Mexican mixed dishes
Canned Carrots,Other red and orange vegetables
Shrimp Bouillon Powder,Other sauces
Shrimp Bouillon,Other sauces
Pork Chile Verde,Other Mexican mixed dishes
Spring Roll Kit,Eggrolls
Crispy Wheels Pastry,Turnovers and other grain-based items
Mango Soda,Soft drinks
Queso Oaxaca,Cheese
Chicken Batter Mix,Other sauces
Sliced Jalapeño Peppers,Pickled vegetables
Baby Corn,Other starchy vegetables
Pollo Asado Marinade,Other sauces
Strawberry Banana Drink,"Flavored milk, lowfat"
Crema Salvadorena,Cream and cream substitutes
Water Infuser,Flavored or carbonated water
Sleepytime Tea,Tea
Flavored Coffee Drink,Coffee
Mushroom Coffee,Coffee
Oat Milk Coffee,Coffee
Mocha Flavored Coffee Drink,Coffee
Energy Blend Water Mix,Other diet drinks
Sleep Drink Mix,Other diet drinks
Coffee Bundle,Coffee
Superfood Mix,Protein and nutritional powders
Sour Cream Chive Dip,Dips
Corn Dip,Dips
American Cheese Snack,Cheese
Layer Dip,Dips
Queso Blanco,Cheese
Chocolate Dip,Dips
Mexican Red Salsa,Tomato-based condiments
Spicy Bean Paste,Soy-based condiments
Green Chile,Other vegetables and combinations
Queso Blanco Sauce,Cheese
Vegan Dip,Dips
Chili Crunch Oil,Mustard and other condiments
Red Chile,Other Mexican mixed dishes
Miso Paste,Soy-based condiments
Cheese Dip & Pretzels,Cheese
Jamaican Cheese,Cheese
Jalapeno Salsa,Dips
Dessert Dips,Dips
Feta Cheese Spread,Cheese
Queso Style Dip,Dips
Plant-Based Taco Filling,Other Mexican mixed dishes
Dips,Dips
Veggie Dip Mix,Dips
Ranchero Salsa,Tomato-based condiments
Raspberry Chipotle Salsa,Other sauces
Salsa Tradicional,"Pasta sauces, tomato-based"
